,종목명,현재가,전일대비,등락률
0,오리엔탈정공,"11,370",상승 470,+4.31%
1,원익홀딩스,"11,400","상승 2,060",+22.06%
2,삼현,"17,350","상승 2,480",+16.68%
3,세진중공업,"22,200","하락 1,300",-5.53%
4,네오셈,"9,120",상승 700,+8.31%
5,하나마이크론,"15,640","상승 1,620",+11.55%
6,미래에셋증권,"21,550","상승 1,850",+9.39%
7,두산에너빌리티,"62,100","상승 1,200",+1.97%
8,한선엔지니어링,"8,680",상승 510,+6.24%
9,삼성전자,"71,100","상승 1,000",+1.43%
10,삼성중공업,"20,950",하락 300,-1.41%
11,메타바이오메드,"6,340",하락 60,-0.94%
12,엘앤씨바이오,"50,700","상승 1,750",+3.58%
13,제주반도체,"18,060",상승 350,+1.98%
14,에스엔시스,"49,000","하락 2,200",-4.30%
